210308-192901,hbase,22.375
210309-162401,hbase,22.375
210309-170901,hbase,22.375
210309-170401,hbase,22.375
210309-165901,hbase,22.375
210308-192901,hdfs,1.0
210309-162401,hdfs,1.0
210309-170901,hdfs,1.0
210309-170401,hdfs,1.0
210309-165901,hdfs,1.0
210309-165401,impala,22.0
210310-001901,impala,21.0
210309-000401,impala,20.875
210309-175401,impala,20.75
210309-234401,impala,20.75
210310-002402,yarn,11.125
210309-233401,yarn,10.5
210309-080401,yarn,7.75
210309-005901,yarn,7.375
210309-071401,yarn,6.375
