210308-192901,hbase,25.625
210309-154401,hbase,25.625
210309-173401,hbase,25.625
210309-172901,hbase,25.625
210309-172401,hbase,25.625
210308-192901,hdfs,1.25
210309-154401,hdfs,1.25
210309-173401,hdfs,1.25
210309-172901,hdfs,1.25
210309-172401,hdfs,1.25
210309-165901,impala,32.5
210309-131401,impala,29.75
210309-170901,impala,29.75
210309-175401,impala,26.875
210309-174401,impala,26.625
210309-095901,yarn,8.125
210309-233901,yarn,8.125
210309-122901,yarn,7.125
210309-121901,yarn,6.625
210309-120401,yarn,5.5
