210308-192901,hbase,0.875
210309-161901,hbase,0.875
210309-170401,hbase,0.875
210309-165902,hbase,0.875
210309-165401,hbase,0.875
210309-120901,hdfs,3.125
210310-000401,hdfs,3.125
210308-222901,hdfs,3.125
210308-223401,hdfs,3.125
210309-152901,hdfs,3.125
210308-192901,impala,4.375
210309-161901,impala,4.375
210309-170401,impala,4.375
210309-165902,impala,4.375
210309-165401,impala,4.375
210308-192901,spark,0.875
210309-161901,spark,0.875
210309-170401,spark,0.875
210309-165902,spark,0.875
210309-165401,spark,0.875
210309-111901,yarn,7.125
210309-143901,yarn,7.125
210309-113901,yarn,7.125
210309-113401,yarn,7.125
210309-112901,yarn,7.125
