210308-192901,hbase,25.625
210308-193401,hbase,25.625
210309-171901,hbase,25.625
210309-171401,hbase,25.625
210309-170901,hbase,25.625
210308-192901,hdfs,1.25
210308-193401,hdfs,1.25
210309-171901,hdfs,1.25
210309-171401,hdfs,1.25
210309-170901,hdfs,1.25
210309-165901,impala,23.375
210309-135401,impala,21.25
210309-170901,impala,20.75
210309-214401,impala,20.25
210309-220401,impala,20.25
210309-104401,yarn,8.125
210309-221901,yarn,4.75
210309-221401,yarn,4.75
210309-220901,yarn,4.625
210309-011901,yarn,4.625
