210308-192901,hbase,25.625
210308-212401,hbase,25.625
210308-213401,hbase,25.625
210308-213901,hbase,25.625
210308-214401,hbase,25.625
210308-192901,hdfs,1.25
210308-212401,hdfs,1.25
210308-213401,hdfs,1.25
210308-213901,hdfs,1.25
210308-214401,hdfs,1.25
210309-165901,impala,30.75
210309-170901,impala,26.25
210308-204401,impala,23.375
210308-194401,impala,22.375
210308-220901,impala,22.375
210309-021401,yarn,11.125
210309-233901,yarn,8.25
210309-121901,yarn,7.5
210309-115901,yarn,5.25
210308-224402,yarn,5.125
